Penjualan_SK,Waktu_SK,Produk_SK,Toko_SK,Konsumen_SK,Affiliator_SK,Ekspedisi_SK,Kota_SK,No_Invoice,Jumlah_Barang,Harga_Satuan,Biaya_Ongkir,Diskon_Platform,Komisi_Affiliator
263,20260527,10,39,8,-1,3,19,INV-10263,1,450000,45000,25000,0
264,20260527,6,14,123,8,1,9,INV-10264,1,25000,9000,0,1250
265,20260528,14,41,112,-1,4,6,INV-10265,1,135000,20000,10000,0
266,20260528,4,18,50,1,2,39,INV-10266,1,60000,15000,5000,3000
267,20260529,7,25,64,-1,1,20,INV-10267,1,195000,16000,15000,0
268,20260529,9,34,1,3,2,18,INV-10268,1,85000,12000,0,4250
269,20260530,11,2,83,-1,1,6,INV-10269,1,110000,10000,10000,0
270,20260530,13,28,143,5,3,21,INV-10270,1,55000,14000,0,2750
271,20260531,3,12,35,-1,2,8,INV-10271,2,75000,15000,10000,0
272,20260531,5,22,136,7,1,22,INV-10272,1,45000,9000,0,2250
273,20260601,12,45,14,-1,4,8,INV-10273,1,120000,15000,10000,0
274,20260601,1,1,175,9,5,5,INV-10274,1,2500000,0,50000,125000
275,20260602,8,19,185,-1,2,6,INV-10275,1,180000,12000,15000,0
276,20260602,15,30,189,2,1,22,INV-10276,1,35000,9000,0,1750
277,20260603,2,7,5,-1,2,32,INV-10277,1,95000,15000,5000,0
278,20260603,10,39,80,4,3,19,INV-10278,1,450000,45000,25000,22500
279,20260604,6,14,110,-1,1,9,INV-10279,3,25000,11000,0,0
280,20260604,14,41,130,6,4,6,INV-10280,1,135000,20000,10000,6750
281,20260605,4,18,53,-1,2,39,INV-10281,1,60000,15000,5000,0
282,20260605,7,25,101,1,1,20,INV-10282,1,195000,16000,15000,9750
283,20260606,9,34,184,-1,2,18,INV-10283,1,85000,12000,0,0
284,20260606,11,2,95,3,1,6,INV-10284,2,110000,18000,15000,11000
285,20260607,13,28,34,-1,3,21,INV-10285,1,55000,14000,5000,0
286,20260607,3,12,177,5,2,8,INV-10286,1,75000,10000,0,3750
287,20260608,5,22,6,-1,1,22,INV-10287,1,45000,9000,0,0
288,20260608,12,45,23,8,4,8,INV-10288,1,120000,15000,10000,6000
289,20260609,1,1,134,-1,5,1,INV-10289,1,2500000,0,50000,0
290,20260609,8,19,51,9,2,6,INV-10290,1,180000,12000,15000,9000
291,20260115,15,30,119,-1,1,22,INV-10291,1,35000,9000,0,0
292,20260116,2,7,3,4,2,32,INV-10292,1,95000,15000,5000,4750
293,20260117,10,39,165,-1,3,19,INV-10293,1,450000,45000,25000,0
294,20260118,6,14,102,6,1,9,INV-10294,1,25000,9000,0,1250
295,20260119,14,41,14,-1,4,6,INV-10295,1,135000,20000,10000,0
296,20260120,4,18,149,3,2,39,INV-10296,1,60000,15000,5000,3000
297,20260121,7,25,5,-1,1,20,INV-10297,1,195000,16000,15000,0
298,20260122,9,34,191,5,2,18,INV-10298,2,85000,20000,15000,8500
299,20260123,11,2,77,-1,1,6,INV-10299,1,110000,10000,10000,0
300,20260124,13,28,44,2,3,21,INV-10300,1,55000,14000,0,2750
301,20260125,3,12,122,-1,2,8,INV-10301,2,75000,15000,10000,0
302,20260126,5,22,41,8,1,22,INV-10302,1,45000,9000,0,2250
303,20260127,12,45,8,-1,4,8,INV-10303,1,120000,15000,10000,0
304,20260128,1,1,123,4,5,4,INV-10304,1,2500000,0,50000,125000
305,20260129,8,19,112,-1,2,6,INV-10305,1,180000,12000,15000,0
306,20260130,15,30,50,7,1,22,INV-10306,1,35000,9000,0,1750
307,20260131,2,7,64,-1,2,32,INV-10307,1,95000,15000,5000,0
308,20260201,10,39,1,1,3,19,INV-10308,1,450000,45000,25000,22500
309,20260202,6,14,83,-1,1,9,INV-10309,1,25000,9000,0,0
310,20260203,14,41,143,5,4,6,INV-10310,1,135000,20000,10000,6750
311,20260204,4,18,35,-1,2,39,INV-10311,2,60000,20000,10000,0
312,20260205,7,25,136,9,1,20,INV-10312,1,195000,16000,15000,9750
313,20260206,9,34,14,-1,2,18,INV-10313,1,85000,12000,0,0
314,20260207,11,2,175,2,1,6,INV-10314,1,110000,10000,10000,5500
315,20260208,13,28,185,-1,3,21,INV-10315,1,55000,14000,5000,0
316,20260209,3,12,189,6,2,8,INV-10316,1,75000,10000,0,3750
317,20260210,5,22,5,-1,1,22,INV-10317,1,45000,9000,0,0
318,20260211,12,45,80,3,4,8,INV-10318,1,120000,15000,10000,6000
319,20260212,1,1,110,-1,5,5,INV-10319,1,2500000,0,50000,0
320,20260213,8,19,130,4,2,6,INV-10320,1,180000,12000,15000,9000
321,20260214,15,30,53,-1,1,22,INV-10321,2,35000,14000,5000,0
322,20260215,2,7,101,8,2,32,INV-10322,1,95000,15000,5000,4750
323,20260216,10,39,184,-1,3,19,INV-10323,1,450000,45000,25000,0
324,20260217,6,14,95,7,1,9,INV-10324,1,25000,9000,0,1250
325,20260218,14,41,34,-1,4,6,INV-10325,1,135000,20000,10000,0
326,20260219,4,18,177,1,2,39,INV-10326,1,60000,15000,5000,3000
327,20260219,7,25,6,-1,1,20,INV-10327,1,195000,16000,15000,0
328,20260220,9,34,23,6,2,18,INV-10328,1,85000,12000,0,4250
329,20260221,11,2,134,-1,1,6,INV-10329,1,110000,10000,10000,0
330,20260222,13,28,51,5,3,21,INV-10330,1,55000,14000,0,2750
331,20260223,3,12,119,-1,2,8,INV-10331,2,75000,15000,10000,0
332,20260224,5,22,3,9,1,22,INV-10332,1,45000,9000,0,2250
333,20260225,12,45,165,-1,4,8,INV-10333,1,120000,15000,10000,0
334,20260226,1,1,102,2,5,1,INV-10334,1,2500000,0,50000,125000
335,20260227,8,19,14,-1,2,6,INV-10335,1,180000,12000,15000,0
336,20260228,15,30,149,4,1,22,INV-10336,1,35000,9000,0,1750
337,20260301,2,7,5,-1,2,32,INV-10337,1,95000,15000,5000,0
338,20260302,10,39,191,8,3,19,INV-10338,1,450000,45000,25000,22500
339,20260303,6,14,77,-1,1,9,INV-10339,1,25000,9000,0,0
340,20260304,14,41,44,1,4,6,INV-10340,1,135000,20000,10000,6750
341,20260305,4,18,122,-1,2,39,INV-10341,2,60000,20000,10000,0
342,20260306,7,25,41,3,1,20,INV-10342,1,195000,16000,15000,9750
343,20260307,9,34,8,-1,2,18,INV-10343,1,85000,12000,0,0
344,20260308,11,2,123,5,1,6,INV-10344,1,110000,10000,10000,5500
345,20260309,13,28,112,-1,3,21,INV-10345,1,55000,14000,5000,0
346,20260310,3,12,50,6,2,8,INV-10346,1,75000,10000,0,3750
347,20260311,5,22,64,-1,1,22,INV-10347,1,45000,9000,0,0
348,20260312,12,45,1,9,4,8,INV-10348,1,120000,15000,10000,6000
349,20260313,1,1,83,-1,5,3,INV-10349,1,2500000,0,50000,0
350,20260314,8,19,143,2,2,6,INV-10350,1,180000,12000,15000,9000
351,20260315,15,30,35,-1,1,22,INV-10351,2,35000,14000,5000,0
352,20260316,2,7,136,4,2,32,INV-10352,1,95000,15000,5000,4750
353,20260317,10,39,14,-1,3,19,INV-10353,1,450000,45000,25000,0
354,20260318,6,14,175,7,1,9,INV-10354,1,25000,9000,0,1250
355,20260319,14,41,185,-1,4,6,INV-10355,1,135000,20000,10000,0
356,20260320,4,18,189,8,2,39,INV-10356,1,60000,15000,5000,3000
357,20260321,7,25,5,-1,1,20,INV-10357,1,195000,16000,15000,0
358,20260322,9,34,80,1,2,18,INV-10358,2,85000,20000,15000,8500
359,20260323,11,2,110,-1,1,6,INV-10359,1,110000,10000,10000,0
360,20260324,13,28,130,3,3,21,INV-10360,1,55000,14000,0,2750
361,20260325,3,12,53,-1,2,8,INV-10361,1,75000,10000,5000,0
362,20260326,5,22,101,5,1,22,INV-10362,1,45000,9000,0,2250
363,20260327,12,45,184,-1,4,8,INV-10363,1,120000,15000,10000,0
364,20260328,1,1,95,6,5,5,INV-10364,1,2500000,0,50000,125000
365,20260329,8,19,34,-1,2,6,INV-10365,1,180000,12000,15000,0
366,20260330,15,30,177,9,1,22,INV-10366,2,35000,14000,5000,3500
367,20260331,2,7,6,-1,2,32,INV-10367,1,95000,15000,5000,0
368,20260401,10,39,23,2,3,19,INV-10368,1,450000,45000,25000,22500
369,20260402,6,14,134,-1,1,9,INV-10369,1,25000,9000,0,0
370,20260403,14,41,51,4,4,6,INV-10370,1,135000,20000,10000,6750
371,20260404,4,18,119,-1,2,39,INV-10371,1,60000,15000,5000,0
372,20260405,7,25,3,8,1,20,INV-10372,1,195000,16000,15000,9750
373,20260406,9,34,165,-1,2,18,INV-10373,1,85000,12000,0,0
374,20260407,11,2,102,1,1,6,INV-10374,3,110000,15000,20000,16500
375,20260408,13,28,14,-1,3,21,INV-10375,1,55000,14000,5000,0
376,20260409,3,12,149,3,2,8,INV-10376,1,75000,10000,0,3750
377,20260410,5,22,5,-1,1,22,INV-10377,1,45000,9000,0,0
378,20260411,12,45,191,5,4,8,INV-10378,1,120000,15000,10000,6000
379,20260412,1,1,77,-1,5,1,INV-10379,1,2500000,0,50000,0
380,20260413,8,19,44,6,2,6,INV-10380,1,180000,12000,15000,9000
381,20260414,15,30,122,-1,1,22,INV-10381,2,35000,14000,5000,0
382,20260415,2,7,41,9,2,32,INV-10382,1,95000,15000,5000,4750
383,20260416,10,39,8,-1,3,19,INV-10383,1,450000,45000,25000,0
384,20260417,6,14,123,2,1,9,INV-10384,1,25000,9000,0,1250
385,20260418,14,41,112,-1,4,6,INV-10385,1,135000,20000,10000,0
386,20260419,4,18,50,4,2,39,INV-10386,1,60000,15000,5000,3000
387,20260420,7,25,64,-1,1,20,INV-10387,1,195000,16000,15000,0
388,20260421,9,34,1,7,2,18,INV-10388,1,85000,12000,0,4250
389,20260422,11,2,83,-1,1,6,INV-10389,1,110000,10000,10000,0
390,20260423,13,28,143,8,3,21,INV-10390,1,55000,14000,0,2750
391,20260424,3,12,35,-1,2,8,INV-10391,2,75000,15000,10000,0
392,20260425,5,22,136,1,1,22,INV-10392,1,45000,9000,0,2250
393,20260426,12,45,14,-1,4,8,INV-10393,1,120000,15000,10000,0
394,20260427,1,1,175,3,5,2,INV-10394,1,2500000,0,50000,125000
395,20260428,8,19,185,-1,2,6,INV-10395,1,180000,12000,15000,0
396,20260429,15,30,189,5,1,22,INV-10396,1,35000,9000,0,1750
397,20260430,2,7,5,-1,2,32,INV-10397,1,95000,15000,5000,0
398,20260501,10,39,80,6,3,19,INV-10398,1,450000,45000,25000,22500
399,20260502,6,14,110,-1,1,9,INV-10399,3,25000,11000,0,0
400,20260503,14,41,130,9,4,6,INV-10400,1,135000,20000,10000,6750
401,20260504,4,18,53,-1,2,39,INV-10401,1,60000,15000,5000,0
402,20260505,7,25,101,2,1,20,INV-10402,1,195000,16000,15000,9750
403,20260506,9,34,184,-1,2,18,INV-10403,1,85000,12000,0,0
404,20260507,11,2,95,4,1,6,INV-10404,2,110000,18000,15000,11000
405,20260508,13,28,34,-1,3,21,INV-10405,1,55000,14000,5000,0
406,20260509,3,12,177,7,2,8,INV-10406,1,75000,10000,0,3750
407,20260510,5,22,6,-1,1,22,INV-10407,1,45000,9000,0,0
408,20260511,12,45,23,1,4,8,INV-10408,1,120000,15000,10000,6000
409,20260512,1,1,134,-1,5,4,INV-10409,1,2500000,0,50000,0
410,20260513,8,19,51,3,2,6,INV-10410,1,180000,12000,15000,9000
411,20260514,15,30,119,-1,1,22,INV-10411,1,35000,9000,0,0
412,20260515,2,7,3,5,2,32,INV-10412,1,95000,15000,5000,4750
413,20260516,10,39,165,-1,3,19,INV-10413,1,450000,45000,25000,0
414,20260517,6,14,102,6,1,9,INV-10414,1,25000,9000,0,1250
415,20260518,14,41,14,-1,4,6,INV-10415,1,135000,20000,10000,0
416,20260519,4,18,149,8,2,39,INV-10416,1,60000,15000,5000,3000
417,20260520,7,25,5,-1,1,20,INV-10417,1,195000,16000,15000,0
418,20260521,9,34,191,9,2,18,INV-10418,2,85000,20000,15000,8500
419,20260522,11,2,77,-1,1,6,INV-10419,1,110000,10000,10000,0
420,20260523,13,28,44,2,3,21,INV-10420,1,55000,14000,0,2750
421,20260524,3,12,122,-1,2,8,INV-10421,2,75000,15000,10000,0
422,20260525,5,22,41,4,1,22,INV-10422,1,45000,9000,0,2250
423,20260526,12,45,8,-1,4,8,INV-10423,1,120000,15000,10000,0
424,20260527,1,1,123,7,5,5,INV-10424,1,2500000,0,50000,125000
425,20260528,8,19,112,-1,2,6,INV-10425,1,180000,12000,15000,0
426,20260529,15,30,50,1,1,22,INV-10426,1,35000,9000,0,1750
427,20260530,2,7,64,-1,2,32,INV-10427,1,95000,15000,5000,0
428,20260531,10,39,1,3,3,19,INV-10428,1,450000,45000,25000,22500
429,20260601,6,14,83,-1,1,9,INV-10429,1,25000,9000,0,0
430,20260602,14,41,143,5,4,6,INV-10430,1,135000,20000,10000,6750
431,20260603,4,18,35,-1,2,39,INV-10431,2,60000,20000,10000,0
432,20260604,7,25,136,6,1,20,INV-10432,1,195000,16000,15000,9750
433,20260605,9,34,14,-1,2,18,INV-10433,1,85000,12000,0,0
434,20260606,11,2,175,8,1,6,INV-10434,1,110000,10000,10000,5500
435,20260607,13,28,185,-1,3,21,INV-10435,1,55000,14000,5000,0
436,20260608,3,12,189,9,2,8,INV-10436,1,75000,10000,0,3750
437,20260609,5,22,5,-1,1,22,INV-10437,1,45000,9000,0,0
438,20260115,12,45,80,2,4,8,INV-10438,1,120000,15000,10000,6000
439,20260116,1,1,110,-1,5,1,INV-10439,1,2500000,0,50000,0
440,20260117,8,19,130,4,2,6,INV-10440,1,180000,12000,15000,9000
441,20260118,15,30,53,-1,1,22,INV-10441,2,35000,14000,5000,0
442,20260119,2,7,101,7,2,32,INV-10442,1,95000,15000,5000,4750
443,20260120,10,39,184,-1,3,19,INV-10443,1,450000,45000,25000,0
444,20260121,6,14,95,1,1,9,INV-10444,1,25000,9000,0,1250
445,20260122,14,41,34,-1,4,6,INV-10445,1,135000,20000,10000,0
446,20260123,4,18,177,3,2,39,INV-10446,1,60000,15000,5000,3000
447,20260124,7,25,6,-1,1,20,INV-10447,1,195000,16000,15000,0
448,20260125,9,34,23,5,2,18,INV-10448,1,85000,12000,0,4250
449,20260126,11,2,134,-1,1,6,INV-10449,1,110000,10000,10000,0
450,20260127,13,28,51,6,3,21,INV-10450,1,55000,14000,0,2750
451,20260128,3,12,119,-1,2,8,INV-10451,2,75000,15000,10000,0
452,20260129,5,22,3,8,1,22,INV-10452,1,45000,9000,0,2250
453,20260130,12,45,165,-1,4,8,INV-10453,1,120000,15000,10000,0
454,20260131,1,1,102,9,5,2,INV-10454,1,2500000,0,50000,125000
455,20260201,8,19,14,-1,2,6,INV-10455,1,180000,12000,15000,0
456,20260202,15,30,149,2,1,22,INV-10456,1,35000,9000,0,1750
457,20260203,2,7,5,-1,2,32,INV-10457,1,95000,15000,5000,0
458,20260204,10,39,191,4,3,19,INV-10458,1,450000,45000,25000,22500
459,20260205,6,14,77,-1,1,9,INV-10459,1,25000,9000,0,0
460,20260206,14,41,44,6,4,6,INV-10460,1,135000,20000,10000,6750
461,20260207,4,18,122,-1,2,39,INV-10461,2,60000,20000,10000,0
462,20260208,7,25,41,1,1,20,INV-10462,1,195000,16000,15000,9750
463,20260209,9,34,8,-1,2,18,INV-10463,1,85000,12000,0,0
464,20260210,11,2,123,3,1,6,INV-10464,1,110000,10000,10000,5500
465,20260211,13,28,112,-1,3,21,INV-10465,1,55000,14000,5000,0
466,20260212,3,12,50,5,2,8,INV-10466,1,75000,10000,0,3750
467,20260213,5,22,64,-1,1,22,INV-10467,1,45000,9000,0,0
468,20260214,12,45,1,7,4,8,INV-10468,1,120000,15000,10000,6000
469,20260215,1,1,83,-1,5,4,INV-10469,1,2500000,0,50000,0
470,20260216,8,19,143,8,2,6,INV-10470,1,180000,12000,15000,9000
471,20260217,15,30,35,-1,1,22,INV-10471,2,35000,14000,5000,0
472,20260218,2,7,136,9,2,32,INV-10472,1,95000,15000,5000,4750
473,20260219,10,39,14,-1,3,19,INV-10473,1,450000,45000,25000,0
474,20260220,6,14,175,2,1,9,INV-10474,1,25000,9000,0,1250
475,20260221,14,41,185,-1,4,6,INV-10475,1,135000,20000,10000,0
476,20260222,4,18,189,4,2,39,INV-10476,1,60000,15000,5000,3000
477,20260223,7,25,5,-1,1,20,INV-10477,1,195000,16000,15000,0
478,20260224,9,34,80,6,2,18,INV-10478,2,85000,20000,15000,8500
479,20260225,11,2,110,-1,1,6,INV-10479,1,110000,10000,10000,0
480,20260226,13,28,130,1,3,21,INV-10480,1,55000,14000,0,2750
481,20260227,3,12,53,-1,2,8,INV-10481,1,75000,10000,5000,0
482,20260228,5,22,101,3,1,22,INV-10482,1,45000,9000,0,2250
483,20260301,12,45,184,-1,4,8,INV-10483,1,120000,15000,10000,0
484,20260302,1,1,95,5,5,5,INV-10484,1,2500000,0,50000,125000
485,20260303,8,19,34,-1,2,6,INV-10485,1,180000,12000,15000,0
486,20260304,15,30,177,7,1,22,INV-10486,2,35000,14000,5000,3500
487,20260305,2,7,,,,,,,,,,
